trade_date,close,open,北向资金,mid,upper,lower,ret,week,position,signal,capital_ret,策略净值,指数净值
2019-07-26,3858.5688,3835.2281,-1386.67,979.4319199999999,6069.856719576855,-4110.992879576855,0.0019481096989626412,2019-07-22/2019-07-28,1.0,,0.0019481096989626412,1.281443702598871,1.2215370248599324
2019-07-29,3854.2704,3857.9394,58.98,970.2533599999999,6059.735282834584,-4119.228562834584,-0.0011139881709508748,2019-07-29/2019-08-04,1.0,,-0.0011139881709508748,1.2800161894724362,1.22017624706386
2019-07-30,3870.3176,3861.5698,2450.98,961.78496,6041.697299105074,-4118.127379105074,0.004163485779306031,2019-07-29/2019-08-04,1.0,,0.004163485779306031,1.2853455186745861,1.2252564335167573
2019-07-31,3835.3589,3856.745,-499.16,945.19936,6020.53271437033,-4130.133994370331,-0.009032514540925463,2019-07-29/2019-08-04,1.0,,-0.009032514540925463,1.2737356165870446,1.2141892869646547
2019-08-01,3803.4694,3819.3242,-1150.82,937.4905600000001,6016.6947645772925,-4141.713644577292,-0.008314606489630005,2019-07-29/2019-08-04,1.0,,-0.008314606489630005,1.2631450061632972,1.204093780839619
2019-08-02,3747.4379,3729.1309,-6811.99,910.55156,6041.831352636656,-4220.728232636657,-0.014731681553688869,2019-07-29/2019-08-04,1.0,0.0,-0.014731681553688869,1.2445367561763672,1.1863554546995125
2019-08-05,3675.6884,3724.4097,-3463.03,888.83872,6035.853606708477,-4258.1761667084775,-0.019146281249917463,2019-08-05/2019-08-11,0.0,,-0.0060836012786228645,1.2369654907751995,1.163641159501462
2019-08-06,3636.3289,3609.1118,-2978.73,871.894,6031.840635960922,-4288.052635960921,-0.010708062195914136,2019-08-05/2019-08-11,0.0,,-0.0,1.2369654907751995,1.1511808175917946
2019-08-07,3621.431,3654.6323,-3050.43,859.5698799999999,6032.318502629958,-4313.178742629958,-0.004096961636225971,2019-08-05/2019-08-11,0.0,,-0.0,1.2369654907751995,1.1464644739457617
2019-08-08,3669.2936,3651.3571,2549.25,871.7451199999999,6045.353388729888,-4301.863148729889,0.013216488178291907,2019-08-05/2019-08-11,0.0,,0.0,1.2369654907751995,1.1616167081124975
2019-08-09,3633.5296,3686.7493,1394.9,877.2648399999999,6050.464401040106,-4295.9347210401065,-0.009746835194654357,2019-08-05/2019-08-11,0.0,,-0.0,1.2369654907751995,1.150294621499168
2019-08-12,3699.1047,3647.8661,2239.17,875.3982799999999,6047.296663608644,-4296.500103608645,0.018047217779648683,2019-08-12/2019-08-18,0.0,,0.0,1.2369654907751995,1.171054239044122
2019-08-13,3665.7515,3675.5868,-2436.09,856.38152,6035.956615048081,-4323.193575048082,-0.009016560142241947,2019-08-12/2019-08-18,0.0,,-0.0,1.2369654907751995,1.1604953580679533
2019-08-14,3682.4015,3712.0657,1183.65,860.89668,6040.000345004643,-4318.206985004644,0.004542042743486574,2019-08-12/2019-08-18,0.0,,0.0,1.2369654907751995,1.1657663775879157
2019-08-15,3694.0006,3618.0092,137.24,850.23604,6026.482644757626,-4326.0105647576265,0.003149873798389491,2019-08-12/2019-08-18,0.0,,0.0,1.2369654907751995,1.1694383945557232
2019-08-16,3710.5386,3697.9407,-217.34,842.2404399999999,6018.7108133933525,-4334.229933393353,0.004476988985870678,2019-08-12/2019-08-18,0.0,,0.0,1.2369654907751995,1.1746739573678033
2019-08-19,3791.0946,3736.0344,7847.61,871.44764,6090.314858418926,-4347.419578418925,0.02171005578543239,2019-08-19/2019-08-25,0.0,1.0,0.0,1.2369654907751995,1.200176194511953
2019-08-20,3787.7324,3786.026,-1262.33,855.5347200000001,6075.343493616381,-4364.27405361638,-0.0008868678718806366,2019-08-19/2019-08-25,1.0,,0.0004462029579300064,1.2375174284360406,1.1991117968044442
2019-08-21,3781.7579,3778.3091,1999.41,852.80124,6070.850683503925,-4365.248203503926,-0.0015773289580858219,2019-08-19/2019-08-25,1.0,,-0.0015773289580858219,1.2355654563600325,1.1972204030433622
