trade_date,ts_code,trade_date,close
2011-06-28,000300.SH,20110628,3041.734
2011-06-29,000300.SH,20110629,3000.169
2011-06-30,000300.SH,20110630,3044.089
2011-07-01,000300.SH,20110701,3049.745
2011-07-04,000300.SH,20110704,3121.98
2011-07-05,000300.SH,20110705,3122.5
2011-07-06,000300.SH,20110706,3113.712
2011-07-07,000300.SH,20110707,3101.68
2011-07-08,000300.SH,20110708,3109.183
2011-07-11,000300.SH,20110711,3113.206
2011-07-12,000300.SH,20110712,3056.905
2011-07-13,000300.SH,20110713,3106.247
2011-07-14,000300.SH,20110714,3115.745
2011-07-15,000300.SH,20110715,3128.889
2011-07-18,000300.SH,20110718,3122.6
2011-07-19,000300.SH,20110719,3095.125
2011-07-20,000300.SH,20110720,3091.567
2011-07-21,000300.SH,20110721,3059.139
2011-07-22,000300.SH,20110722,3067.985
2011-07-25,000300.SH,20110725,2968.289
2011-07-26,000300.SH,20110726,2977.766
2011-07-27,000300.SH,20110727,3000.052
2011-07-28,000300.SH,20110728,2981.002
2011-07-29,000300.SH,20110729,2972.079
2011-08-01,000300.SH,20110801,2977.721
2011-08-02,000300.SH,20110802,2956.383
2011-08-03,000300.SH,20110803,2954.87
2011-08-04,000300.SH,20110804,2960.309
2011-08-05,000300.SH,20110805,2897.417
2011-08-08,000300.SH,20110808,2793.897
2011-08-09,000300.SH,20110809,2798.19
2011-08-10,000300.SH,20110810,2824.12
2011-08-11,000300.SH,20110811,2866.924
2011-08-12,000300.SH,20110812,2875.365
2011-08-15,000300.SH,20110815,2917.883
2011-08-16,000300.SH,20110816,2897.581
2011-08-17,000300.SH,20110817,2886.013
2011-08-18,000300.SH,20110818,2834.254
2011-08-19,000300.SH,20110819,2807.664
2011-08-22,000300.SH,20110822,2777.787
2011-08-23,000300.SH,20110823,2821.003
2011-08-24,000300.SH,20110824,2810.016
2011-08-25,000300.SH,20110825,2903.837
2011-08-26,000300.SH,20110826,2901.216
2011-08-29,000300.SH,20110829,2852.809
2011-08-30,000300.SH,20110830,2841.74
2011-08-31,000300.SH,20110831,2846.776
2011-09-01,000300.SH,20110901,2834.535
2011-09-02,000300.SH,20110902,2803.854
2011-09-05,000300.SH,20110905,2743.817
2011-09-06,000300.SH,20110906,2723.303
2011-09-07,000300.SH,20110907,2779.09
2011-09-08,000300.SH,20110908,2756.105
2011-09-09,000300.SH,20110909,2751.095
2011-09-13,000300.SH,20110913,2720.283
2011-09-14,000300.SH,20110914,2733.108
2011-09-15,000300.SH,20110915,2729.051
2011-09-16,000300.SH,20110916,2733.987
2011-09-19,000300.SH,20110919,2679.27
2011-09-20,000300.SH,20110920,2689.845
2011-09-21,000300.SH,20110921,2771.011
2011-09-22,000300.SH,20110922,2685.688
2011-09-23,000300.SH,20110923,2669.478
2011-09-26,000300.SH,20110926,2610.919
2011-09-27,000300.SH,20110927,2637.879
2011-09-28,000300.SH,20110928,2610.59
2011-09-29,000300.SH,20110929,2588.185
2011-09-30,000300.SH,20110930,2581.351
2011-10-10,000300.SH,20111010,2557.082
2011-10-11,000300.SH,20111011,2551.994
2011-10-12,000300.SH,20111012,2644.758
2011-10-13,000300.SH,20111013,2662.601
2011-10-14,000300.SH,20111014,2653.782
2011-10-17,000300.SH,20111017,2666.951
2011-10-18,000300.SH,20111018,2592.209
2011-10-19,000300.SH,20111019,2583.081
2011-10-20,000300.SH,20111020,2520.532
2011-10-21,000300.SH,20111021,2507.877
2011-10-24,000300.SH,20111024,2576.669
2011-10-25,000300.SH,20111025,2625.425
2011-10-26,000300.SH,20111026,2651.652
2011-10-27,000300.SH,20111027,2657.478
2011-10-28,000300.SH,20111028,2709.017
2011-10-31,000300.SH,20111031,2695.307
2011-11-01,000300.SH,20111101,2697.534
2011-11-02,000300.SH,20111102,2742.39
2011-11-03,000300.SH,20111103,2744.301
2011-11-04,000300.SH,20111104,2763.746
2011-11-07,000300.SH,20111107,2736.248
2011-11-08,000300.SH,20111108,2727.71
2011-11-09,000300.SH,20111109,2751.654
2011-11-10,000300.SH,20111110,2699.588
2011-11-11,000300.SH,20111111,2695.002
2011-11-14,000300.SH,20111114,2750.195
2011-11-15,000300.SH,20111115,2744.68
2011-11-16,000300.SH,20111116,2670.116
2011-11-17,000300.SH,20111117,2662.017
2011-11-18,000300.SH,20111118,2606.495
2011-11-21,000300.SH,20111121,2609.687
2011-11-22,000300.SH,20111122,2609.475
2011-11-23,000300.SH,20111123,2584.011
2011-11-24,000300.SH,20111124,2588.915
2011-11-25,000300.SH,20111125,2569.973
2011-11-28,000300.SH,20111128,2573.321
2011-11-29,000300.SH,20111129,2608.569
2011-11-30,000300.SH,20111130,2521.52
2011-12-01,000300.SH,20111201,2583.613
2011-12-02,000300.SH,20111202,2557.311
2011-12-05,000300.SH,20111205,2521.385
2011-12-06,000300.SH,20111206,2516.341
2011-12-07,000300.SH,20111207,2528.228
2011-12-08,000300.SH,20111208,2525.001
2011-12-09,000300.SH,20111209,2503.461
2011-12-12,000300.SH,20111212,2477.692
2011-12-13,000300.SH,20111213,2421.928
2011-12-14,000300.SH,20111214,2397.48
2011-12-15,000300.SH,20111215,2340.788
2011-12-16,000300.SH,20111216,2390.129
2011-12-19,000300.SH,20111219,2384.408
2011-12-20,000300.SH,20111220,2377.073
2011-12-21,000300.SH,20111221,2339.108
2011-12-22,000300.SH,20111222,2341.335
2011-12-23,000300.SH,20111223,2359.159
2011-12-26,000300.SH,20111226,2335.702
2011-12-27,000300.SH,20111227,2305.035
2011-12-28,000300.SH,20111228,2307.928
2011-12-29,000300.SH,20111229,2311.361
2011-12-30,000300.SH,20111230,2345.742
2012-01-04,000300.SH,20120104,2298.753
2012-01-05,000300.SH,20120105,2276.385
2012-01-06,000300.SH,20120106,2290.601
2012-01-09,000300.SH,20120109,2368.57
2012-01-10,000300.SH,20120110,2447.349
2012-01-11,000300.SH,20120111,2435.608
2012-01-12,000300.SH,20120112,2435.219
2012-01-13,000300.SH,20120113,2394.334
2012-01-16,000300.SH,20120116,2345.649
2012-01-17,000300.SH,20120117,2460.601
2012-01-18,000300.SH,20120118,2422.189
2012-01-19,000300.SH,20120119,2468.35
2012-01-20,000300.SH,20120120,2504.086
2012-01-30,000300.SH,20120130,2460.72
2012-01-31,000300.SH,20120131,2464.26
2012-02-01,000300.SH,20120201,2428.994
2012-02-02,000300.SH,20120202,2486.238
2012-02-03,000300.SH,20120203,2506.09
2012-02-06,000300.SH,20120206,2504.322
2012-02-07,000300.SH,20120207,2457.954
2012-02-08,000300.SH,20120208,2528.236
2012-02-09,000300.SH,20120209,2529.231
2012-02-10,000300.SH,20120210,2533.624
2012-02-13,000300.SH,20120213,2531.981
2012-02-14,000300.SH,20120214,2522.107
2012-02-15,000300.SH,20120215,2549.607
2012-02-16,000300.SH,20120216,2536.074
2012-02-17,000300.SH,20120217,2537.086
2012-02-20,000300.SH,20120220,2540.706
2012-02-21,000300.SH,20120221,2562.453
2012-02-22,000300.SH,20120222,2597.476
2012-02-23,000300.SH,20120223,2606.256
2012-02-24,000300.SH,20120224,2648.017
2012-02-27,000300.SH,20120227,2656.573
2012-02-28,000300.SH,20120228,2662.463
2012-02-29,000300.SH,20120229,2634.143
2012-03-01,000300.SH,20120301,2633.345
2012-03-02,000300.SH,20120302,2679.934
2012-03-05,000300.SH,20120305,2662.698
2012-03-06,000300.SH,20120306,2621.052
2012-03-07,000300.SH,20120307,2603.005
2012-03-08,000300.SH,20120308,2635.791
2012-03-09,000300.SH,20120309,2664.302
2012-03-12,000300.SH,20120312,2654.402
2012-03-13,000300.SH,20120313,2681.073
2012-03-14,000300.SH,20120314,2605.106
2012-03-15,000300.SH,20120315,2585.546
2012-03-16,000300.SH,20120316,2623.52
2012-03-19,000300.SH,20120319,2630.013
2012-03-20,000300.SH,20120320,2584.445
2012-03-21,000300.SH,20120321,2587.793
2012-03-22,000300.SH,20120322,2583.747
2012-03-23,000300.SH,20120323,2552.94
2012-03-26,000300.SH,20120326,2555.442
2012-03-27,000300.SH,20120327,2547.143
2012-03-28,000300.SH,20120328,2474.9
2012-03-29,000300.SH,20120329,2443.122
2012-03-30,000300.SH,20120330,2454.899
2012-04-05,000300.SH,20120405,2512.832
2012-04-06,000300.SH,20120406,2519.83
2012-04-09,000300.SH,20120409,2495.146
2012-04-10,000300.SH,20120410,2519.788
2012-04-11,000300.SH,20120411,2520.036
2012-04-12,000300.SH,20120412,2570.436
2012-04-13,000300.SH,20120413,2580.454
2012-04-16,000300.SH,20120416,2574.044
2012-04-17,000300.SH,20120417,2541.883
2012-04-18,000300.SH,20120418,2599.908
2012-04-19,000300.SH,20120419,2596.056
2012-04-20,000300.SH,20120420,2626.839
2012-04-23,000300.SH,20120423,2606.038
2012-04-24,000300.SH,20120424,2604.866
2012-04-25,000300.SH,20120425,2625.99
2012-04-26,000300.SH,20120426,2631.487
2012-04-27,000300.SH,20120427,2626.157
